"CVEGEO","NOMGEO","n_schools_avg","no_n_schools_avg","pct_con_bebederos","no_pct_con_bebederos","pct_con_proteccion_civil","no_pct_con_proteccion_civil","pct_con_cancha","no_pct_con_cancha","avg_anio_creacion","no_avg_anio_creacion"
8038,"JULIMES",1.5,0,0.5,0,0,0,0.5,0,1986,0
8035,"JANOS",1,0,1,0,0,0,1,0,2000,0
8034,"IGNACIO ZARAGOZA",1,0,1,0,0,0,1,0,1982,0
8033,"HUEJOTITAN",0,1,0,1,0,1,0,1,0,1
8063,"TEMOSACHIC",0,1,0,1,0,1,0,1,0,1
8061,"SATEVO",0,1,0,1,0,1,0,1,0,1
8062,"SAUCILLO",4.5,0,0.857142857142857,0,0.25,0,0.678571428571429,0,1976.28571428571,0
8030,"GUAZAPARES",0,1,0,1,0,1,0,1,0,1
8028,"GUADALUPE",3,0,0.0555555555555556,0,0.333333333333333,0,0.611111111111111,0,1987.66666666667,0
8027,"GUACHOCHI",3.5,0,0.291666666666667,0,0.166666666666667,0,0.541666666666667,0,1977.75,0
8026,"GRAN MORELOS",0,1,0,1,0,1,0,1,0,1
8019,"CHIHUAHUA",33.6666666666667,0,0.920486700622524,0,0.0956423316355405,0,0.73203169213356,0,1989.12790039615,0
8064,"EL TULE",1,0,1,0,0,0,1,0,1980,0
8024,"SANTA ISABEL",0,1,0,1,0,1,0,1,0,1
8037,"JUAREZ",25,0,0.553480475382003,0,0.234295415959253,0,0.559422750424448,0,1990.97028862479,0
8059,"SAN FRANCISCO DEL ORO",0,1,0,1,0,1,0,1,0,1
8066,"URUACHI",0,1,0,1,0,1,0,1,0,1
8065,"URIQUE",0,1,0,1,0,1,0,1,0,1
8060,"SANTA BARBARA",1,0,1,0,0.5,0,0.5,0,1975.5,0
8044,"MATAMOROS",1,0,0,0,0,0,0,0,1991,0
8045,"MEOQUI",3,0,0.833333333333333,0,0,0,0.666666666666667,0,1983.5,0
8046,"MORELOS",1,0,1,0,0,0,1,0,1982,0
8047,"MORIS",1,0,0,0,0,0,1,0,1993,0
8048,"NAMIQUIPA",1,0,0,0,0,0,1,0,1976,0
8029,"GUADALUPE Y CALVO",1,0,0,0,0,0,1,0,1957,0
8036,"JIMENEZ",2,0,0.166666666666667,0,0,0,0.166666666666667,0,2001.33333333333,0
8049,"NONOAVA",2,0,0.5,0,0,0,1,0,1991,0
8002,"ALDAMA",3.5,0,0.416666666666667,0,0.0833333333333333,0,0.833333333333333,0,1990.33333333333,0
9012,"TLALPAN",0,1,0,1,0,1,0,1,0,1
9009,"MILPA ALTA",0,1,0,1,0,1,0,1,0,1
9015,"CUAUHTEMOC",4.5,0,0.675,0,0,0,0.9,0,1984.3,0
9015,"CUAUHTEMOC",2,0,0.166666666666667,0,0,0,0,0,1980.5,0
9007,"IZTAPALAPA",0,1,0,1,0,1,0,1,0,1
9008,"LA MAGDALENA CONTRERAS",0,1,0,1,0,1,0,1,0,1
9010,"ALVARO OBREGON",0,1,0,1,0,1,0,1,0,1
9003,"COYOACAN",0,1,0,1,0,1,0,1,0,1
9016,"MIGUEL HIDALGO",0,1,0,1,0,1,0,1,0,1
9004,"CUAJIMALPA DE MORELOS",0,1,0,1,0,1,0,1,0,1
9006,"IZTACALCO",0,1,0,1,0,1,0,1,0,1
9011,"TLAHUAC",0,1,0,1,0,1,0,1,0,1
9013,"XOCHIMILCO",0,1,0,1,0,1,0,1,0,1
9005,"GUSTAVO A. MADERO",0,1,0,1,0,1,0,1,0,1
9002,"AZCAPOTZALCO",0,1,0,1,0,1,0,1,0,1
9017,"VENUSTIANO CARRANZA",1,0,0,0,0,0,0,0,2006,0
9014,"BENITO JUAREZ",2,0,0,0,0,0,0.166666666666667,0,1985.83333333333,0
9014,"BENITO JUAREZ",3,0,0,0,0,0,0.333333333333333,0,1994.66666666667,0
10006,"GENERAL SIMON BOLIVAR",0,1,0,1,0,1,0,1,0,1
10008,"GUADALUPE VICTORIA",1,0,0,0,0,0,1,0,1964,0
10009,"GUANACEVI",0,1,0,1,0,1,0,1,0,1
10010,"HIDALGO",1,0,0,0,0,0,1,0,1980,0
10029,"SAN LUIS DEL CORDERO",0,1,0,1,0,1,0,1,0,1
10031,"SANTA CLARA",0,1,0,1,0,1,0,1,0,1
10011,"INDE",0,1,0,1,0,1,0,1,0,1
10038,"VICENTE GUERRERO",0,1,0,1,0,1,0,1,0,1
10030,"SAN PEDRO DEL GALLO",0,1,0,1,0,1,0,1,0,1
10023,"PUEBLO NUEVO",2,0,0.5,0,0,0,1,0,1979,0
10025,"SAN BERNARDO",0,1,0,1,0,1,0,1,0,1
10032,"SANTIAGO PAPASQUIARO",0,1,0,1,0,1,0,1,0,1
10027,"SAN JUAN DE GUADALUPE",0,1,0,1,0,1,0,1,0,1
10007,"GOMEZ PALACIO",1.5,0,0.75,0,0.25,0,0.75,0,1978,0
10015,"NAZAS",0,1,0,1,0,1,0,1,0,1
10035,"TEPEHUANES",0,1,0,1,0,1,0,1,0,1
10022,"POANAS",0,1,0,1,0,1,0,1,0,1
10028,"SAN JUAN DEL RIO",0,1,0,1,0,1,0,1,0,1
10017,"OCAMPO",2,0,0.5,0,0.5,0,1,0,1984.5,0
10001,"CANATLAN",0,1,0,1,0,1,0,1,0,1
10005,"DURANGO",9,0,0.4375,0,0,0,0.84375,0,1969.65625,0
10037,"TOPIA",0,1,0,1,0,1,0,1,0,1
10033,"SUCHIL",0,1,0,1,0,1,0,1,0,1
10036,"TLAHUALILO",0,1,0,1,0,1,0,1,0,1
10012,"LERDO",3,0,0,0,0,0,0.333333333333333,0,1979.33333333333,0
10014,"MEZQUITAL",0,1,0,1,0,1,0,1,0,1
10026,"SAN DIMAS",0,1,0,1,0,1,0,1,0,1
10019,"OTAEZ",0,1,0,1,0,1,0,1,0,1
10034,"TAMAZULA",0,1,0,1,0,1,0,1,0,1
10013,"MAPIMI",0,1,0,1,0,1,0,1,0,1
10016,"NOMBRE DE DIOS",1,0,0,0,0,0,0,0,1993,0
10018,"EL ORO",0,1,0,1,0,1,0,1,0,1
10020,"PANUCO DE CORONADO",1,0,1,0,0,0,0,0,1987,0
10002,"CANELAS",0,1,0,1,0,1,0,1,0,1
10039,"NUEVO IDEAL",0,1,0,1,0,1,0,1,0,1
10021,"PENON BLANCO",1,0,0,0,0,0,1,0,1980,0
10003,"CONETO DE COMONFORT",0,1,0,1,0,1,0,1,0,1
10024,"RODEO",0,1,0,1,0,1,0,1,0,1
10004,"CUENCAME",1,0,0,0,0,0,1,0,1976,0
11019,"JERECUARO",0,1,0,1,0,1,0,1,0,1
11020,"LEON",16,0,0.57051282051282,0,0.141025641025641,0,0.826923076923077,0,1996.09615384615,0
11021,"MOROLEON",2,0,0.5,0,0.5,0,1,0,1979.5,0
11023,"PENJAMO",10,0,0.1,0,0.1,0,0.6,0,1983.7,0
11038,"TARANDACUAO",3,0,0,0,0,0,0,0,1986.33333333333,0
11039,"TARIMORO",3,0,1,0,0.333333333333333,0,1,0,1975,0
11040,"TIERRA BLANCA",4,0,0,0,0,0,0.25,0,1990.75,0
11041,"URIANGATO",3,0,0.333333333333333,0,0.333333333333333,0,1,0,1976.66666666667,0
11002,"ACAMBARO",7,0,0.285714285714286,0,0.285714285714286,0,0.714285714285714,0,1981.14285714286,0
11012,"CUERAMARO",0,1,0,1,0,1,0,1,0,1
11013,"DOCTOR MORA",0,1,0,1,0,1,0,1,0,1
11014,"DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL",5,0,0.611111111111111,0,0.0555555555555555,0,0.777777777777778,0,1988,0
11022,"OCAMPO",2,0,0.5,0,0.5,0,1,0,1984.5,0
11024,"PUEBLO NUEVO",2,0,0.5,0,0,0,1,0,1979,0
11030,"SAN FELIPE",6,0,0,0,0,0,0.5,0,1985.5,0
11030,"SAN FELIPE",1,0,0,0,0,0,1,0,1936,0
11036,"SANTIAGO MARAVATIO",1,0,1,0,0,0,1,0,1985,0
11007,"CELAYA",7,0,0.428571428571429,0,0,0,0.714285714285714,0,1985.57142857143,0
11027,"SALAMANCA",15.5,0,0.415384615384615,0,0.176923076923077,0,0.730769230769231,0,1984.59230769231,0
11035,"SANTA CRUZ DE JUVENTINO ROSAS",4,0,0.75,0,0.25,0,1,0,1982,0
11011,"CORTAZAR",2,0,0,0,0,0,0.5,0,2004.5,0
11031,"SAN FRANCISCO DEL RINCON",5.5,0,0.833333333333333,0,0,0,0.75,0,1974.75,0
11025,"PURISIMA DEL RINCON",2,0,0.333333333333333,0,0.166666666666667,0,1,0,1971.5,0
11026,"ROMITA",2,0,0.5,0,0,0,0.5,0,1981,0
