"CVEGEO","NOMGEO","n_federal_offices","no_n_federal_offices"
14099,"TOLIMAN",4,0
14099,"TOLIMAN",6,0
14093,"TEPATITLAN DE MORELOS",74,0
14124,"ZAPOTLANEJO",48,0
14115,"VILLA GUERRERO",4,0
14115,"VILLA GUERRERO",12,0
14021,"CASIMIRO CASTILLO",7,0
14070,"EL SALTO",32,0
14020,"CABO CORRIENTES",3,0
14018,"LA BARCA",48,0
14051,"JUANACATLAN",10,0
14044,"IXTLAHUACAN DE LOS MEMBRILLOS",14,0
14039,"GUADALAJARA",293,0
14022,"CIHUATLAN",11,0
14016,"AYOTLAN",31,0
14080,"SAN SEBASTIAN DEL OESTE",8,0
14125,"SAN IGNACIO CERRO GORDO",0,1
14072,"SAN DIEGO DE ALEJANDRIA",11,0
14066,"PONCITLAN",36,0
14110,"UNION DE TULA",11,0
14092,"TEOCUITATLAN DE CORONA",4,0
14091,"TEOCALTICHE",9,0
14002,"ACATLAN DE JUAREZ",14,0
14003,"AHUALULCO DE MERCADO",10,0
14005,"AMATITAN",9,0
14109,"UNION DE SAN ANTONIO",25,0
14108,"TUXPAN",14,0
14108,"TUXPAN",18,0
14108,"TUXPAN",18,0
14108,"TUXPAN",126,0
14088,"TECOLOTLAN",5,0
14090,"TENAMAXTLAN",7,0
14071,"SAN CRISTOBAL DE LA BARRANCA",10,0
14068,"VILLA PURIFICACION",1,0
14067,"PUERTO VALLARTA",60,0
14114,"VILLA CORONA",13,0
14107,"TUXCUECA",4,0
14106,"TUXCACUESCO",1,0
14025,"COLOTLAN",5,0
14027,"CUAUTITLAN DE GARCIA BARRAGAN",6,0
14028,"CUAUTLA",43,0
14011,"ATENGO",4,0
14064,"OJUELOS DE JALISCO",19,0
14032,"CHIQUILISTLAN",0,1
14030,"CHAPALA",32,0
14029,"CUQUIO",24,0
14094,"TEQUILA",38,0
14094,"TEQUILA",7,0
14095,"TEUCHITLAN",7,0
14096,"TIZAPAN EL ALTO",10,0
14061,"MEZQUITIC",9,0
14060,"MEXTICACAN",18,0
14059,"MAZAMITLA",5,0
14058,"MASCOTA",12,0
14057,"LA MANZANILLA DE LA PAZ",1,0
14056,"SANTA MARIA DEL ORO",27,0
14054,"EL LIMON",7,0
14085,"TAMAZULA DE GORDIANO",12,0
14084,"TALPA DE ALLENDE",9,0
14053,"LAGOS DE MORENO",62,0
14052,"JUCHITLAN",0,1
14050,"JOCOTEPEC",17,0
14031,"CHIMALTITAN",3,0
14049,"JILOTLAN DE LOS DOLORES",8,0
14048,"JESUS MARIA",9,0
14048,"JESUS MARIA",8,0
14047,"JAMAY",16,0
14046,"JALOSTOTITLAN",7,0
14045,"IXTLAHUACAN DEL RIO",27,0
14042,"HUEJUQUILLA EL ALTO",6,0
14041,"HUEJUCAR",8,0
14040,"HOSTOTIPAQUILLO",21,0
14038,"GUACHINANGO",7,0
14037,"EL GRULLO",18,0
14036,"ETZATLAN",12,0
14035,"ENCARNACION DE DIAZ",21,0
14034,"EJUTLA",2,0
14033,"DEGOLLADO",8,0
14010,"ATEMAJAC DE BRIZUELA",1,0
14013,"ATOTONILCO EL ALTO",39,0
14089,"TECHALUTA DE MONTENEGRO",4,0
14026,"CONCEPCION DE BUENOS AIRES",1,0
14083,"TALA",25,0
14082,"SAYULA",8,0
14081,"SANTA MARIA DE LOS ANGELES",1,0
14009,"EL ARENAL",8,0
14009,"EL ARENAL",6,0
14008,"ARANDAS",34,0
14007,"SAN JUANITO DE ESCOBEDO",8,0
14006,"AMECA",43,0
14004,"AMACUECA",3,0
14001,"ACATIC",14,0
15021,"COATEPEC HARINAS",11,0
15011,"ATENCO",812,0
15004,"ALMOLOYA DE ALQUISIRAS",7,0
15002,"ACOLMAN",37,0
15034,"ECATZINGO",4,0
15030,"CHICONCUAC",4,0
15068,"OZUMBA",9,0
15082,"TEJUPILCO",32,0
15028,"CHIAUTLA",15,0
15028,"CHIAUTLA",7,0
15019,"CAPULHUAC",5,0
15118,"ZINACANTEPEC",22,0
15094,"TEPETLIXPA",8,0
15074,"SAN FELIPE DEL PROGRESO",54,0
15036,"HUEYPOXTLA",7,0
15041,"IXTAPAN DEL ORO",4,0
15085,"TEMASCALCINGO",26,0
15096,"TEQUIXQUIAC",8,0
15104,"TLALNEPANTLA DE BAZ",114,0
15076,"SAN MATEO ATENCO",8,0
15010,"APAXCO",10,0
15023,"COYOTEPEC",2,0
15023,"COYOTEPEC",1,0
15025,"CHALCO",38,0
15103,"TLALMANALCO",9,0
15100,"TEZOYUCA",6,0
15040,"IXTAPAN DE LA SAL",11,0
15107,"TONATICO",2,0
15052,"MALINALCO",11,0
15109,"TULTITLAN",60,0
15012,"ATIZAPAN",2,0
15014,"ATLACOMULCO",37,0
15003,"ACULCO",25,0
15015,"ATLAUTLA",8,0
15016,"AXAPUSCO",12,0
15005,"ALMOLOYA DE JUAREZ",31,0
15024,"CUAUTITLAN",26,0
15008,"AMATEPEC",16,0
15007,"AMANALCO",7,0
15120,"ZUMPANGO",32,0
15042,"IXTLAHUACA",51,0
15084,"TEMASCALAPA",10,0
15047,"JIQUIPILCO",21,0
15022,"COCOTITLAN",3,0
15020,"COACALCO DE BERRIOZABAL",17,0
15062,"OCOYOACAC",17,0
15050,"JUCHITEPEC",4,0
15061,"NOPALTEPEC",5,0
15101,"TIANGUISTENCO",18,0
15057,"NAUCALPAN DE JUAREZ",106,0
15105,"TLATLAYA",17,0
15106,"TOLUCA",124,0
15116,"ZACAZONAPAN",2,0
15097,"TEXCALTITLAN",7,0
15079,"SOYANIQUILPAN DE JUAREZ",5,0
15119,"ZUMPAHUACAN",8,0
15081,"TECAMAC",38,0
15035,"HUEHUETOCA",18,0
15064,"EL ORO",12,0
15064,"EL ORO",23,0
15083,"TEMAMATLA",1,0
15102,"TIMILPAN",8,0
15087,"TEMOAYA",26,0
15066,"OTZOLOAPAN",2,0
15108,"TULTEPEC",10,0
15089,"TENANGO DEL AIRE",3,0
15051,"LERMA",45,0
15046,"JILOTZINGO",5,0
15037,"HUIXQUILUCAN",28,0
15038,"ISIDRO FABELA",2,0
15039,"IXTAPALUCA",43,0
15017,"AYAPANGO",5,0
15069,"PAPALOTLA",1,0
15065,"OTUMBA",14,0
15048,"JOCOTITLAN",17,0
15121,"CUAUTITLAN IZCALLI",47,0
15080,"SULTEPEC",14,0
15071,"POLOTITLAN",11,0
15075,"SAN MARTIN DE LAS PIRAMIDES",4,0
15072,"RAYON",2,0
15072,"RAYON",3,0
15072,"RAYON",15,0
15072,"RAYON",2,0
15056,"MORELOS",12,0
15056,"MORELOS",4,0
15056,"MORELOS",13,0
15056,"MORELOS",6,0
15056,"MORELOS",10,0
15067,"OTZOLOTEPEC",16,0
15088,"TENANCINGO",19,0
15088,"TENANCINGO",3,0
15070,"LA PAZ",189,0
15070,"LA PAZ",28,0
15078,"SANTO TOMAS",3,0
15111,"VILLA DE ALLENDE",13,0
15112,"VILLA DEL CARBON",8,0
15091,"TEOLOYUCAN",12,0
15113,"VILLA GUERRERO",4,0
15113,"VILLA GUERRERO",12,0
15006,"ALMOLOYA DEL RIO",1,0
15123,"LUVIANOS",19,0
15099,"TEXCOCO",88,0
15060,"NICOLAS ROMERO",33,0
15122,"VALLE DE CHALCO SOLIDARIDAD",21,0
15044,"JALTENCO",3,0
15110,"VALLE DE BRAVO",21,0
15045,"JILOTEPEC",34,0
15045,"JILOTEPEC",4,0
15098,"TEXCALYACAC",1,0
15115,"XONACATLAN",5,0
15117,"ZACUALPAN",7,0
15117,"ZACUALPAN",9,0
15124,"SAN JOSE DEL RINCON",35,0
15029,"CHICOLOAPAN",14,0
15058,"NEZAHUALCOYOTL",86,0
15092,"TEOTIHUACAN",19,0
15077,"SAN SIMON DE GUERRERO",6,0
15055,"MEXICALTZINGO",3,0
15054,"METEPEC",12,0
15054,"METEPEC",30,0
15049,"JOQUICINGO",5,0
15026,"CHAPA DE MOTA",16,0
15001,"ACAMBAY DE RUIZ CASTANEDA",28,0
15059,"NEXTLALPAN",4,0
15086,"TEMASCALTEPEC",22,0
15053,"MELCHOR OCAMPO",4,0
15053,"MELCHOR OCAMPO",1,0
15053,"MELCHOR OCAMPO",3,0
15090,"TENANGO DEL VALLE",18,0
15032,"DONATO GUERRA",12,0
15125,"TONANITLA",1,0
15114,"VILLA VICTORIA",27,0
15093,"TEPETLAOXTOC",6,0
15063,"OCUILAN",9,0
15073,"SAN ANTONIO LA ISLA",3,0
15033,"ECATEPEC DE MORELOS",114,0
15013,"ATIZAPAN DE ZARAGOZA",81,0
15027,"CHAPULTEPEC",1,0
15018,"CALIMAYA",8,0
15009,"AMECAMECA",22,0
15031,"CHIMALHUACAN",37,0
15043,"XALATLACO",9,0
15095,"TEPOTZOTLAN",15,0
16074,"COJUMATLAN DE REGULES",2,0
16090,"TINGAMBATO",8,0
16002,"AGUILILLA",12,0
16003,"ALVARO OBREGON",295,0
16003,"ALVARO OBREGON",18,0
16004,"ANGAMACUTIRO",21,0
16005,"ANGANGUEO",17,0
16006,"APATZINGAN",27,0
16007,"APORO",4,0
16008,"AQUILA",35,0
16008,"AQUILA",2,0
16009,"ARIO",19,0
16096,"TUMBISCATIO",7,0
16097,"TURICATO",13,0
16106,"YURECUARO",20,0
16107,"ZACAPU",34,0
16108,"ZAMORA",41,0
16109,"ZINAPARO",2,0
16110,"ZINAPECUARO",35,0
16010,"ARTEAGA",9,0
16010,"ARTEAGA",81,0
16011,"BRISENAS",8,0
16098,"TUXPAN",14,0
16098,"TUXPAN",18,0
16098,"TUXPAN",18,0
16098,"TUXPAN",126,0
16031,"EPITACIO HUERTA",6,0
16032,"ERONGARICUARO",9,0
16077,"SAN LUCAS",2,0
16077,"SAN LUCAS",18,0
16099,"TUZANTLA",14,0
16001,"ACUITZIO",5,0
16043,"JACONA",6,0
16044,"JIMENEZ",33,0
16044,"JIMENEZ",10,0
16044,"JIMENEZ",23,0
16044,"JIMENEZ",7,0
16045,"JIQUILPAN",25,0
16012,"BUENAVISTA",13,0
16013,"CARACUARO",9,0
16021,"CHARAPAN",4,0
16020,"CUITZEO",9,0
16019,"COTIJA",12,0
16018,"COPANDARO",3,0
16087,"TARETAN",17,0
16086,"TANHUATO",10,0
16072,"QUERENDARO",7,0
16067,"PENJAMILLO",12,0
16022,"CHARO",10,0
16079,"SALVADOR ESCALANTE",21,0
16078,"SANTA ANA MAYA",6,0
16075,"LOS REYES",20,0
16075,"LOS REYES",3,0
16076,"SAHUAYO",23,0
16033,"GABRIEL ZAMORA",13,0
16035,"LA HUACANA",25,0
16036,"HUANDACAREO",7,0
16037,"HUANIQUEO",14,0
16038,"HUETAMO",39,0
16039,"HUIRAMBA",6,0
16040,"INDAPARAPEO",9,0
16041,"IRIMBO",16,0
16042,"IXTLAN",5,0
16049,"MADERO",9,0
16050,"MARAVATIO",35,0
16051,"MARCOS CASTELLANOS",4,0
16052,"LAZARO CARDENAS",487,0
16052,"LAZARO CARDENAS",54,0
16052,"LAZARO CARDENAS",2,0
16053,"MORELIA",182,0
16014,"COAHUAYANA",17,0
16015,"COALCOMAN DE VAZQUEZ PALLARES",11,0
16016,"COENEO",41,0
16017,"CONTEPEC",17,0
16083,"TANCITARO",9,0
16082,"TACAMBARO",20,0
16081,"SUSUPUATO",6,0
16056,"NAHUATZEN",9,0
16080,"SENGUIO",13,0
16057,"NOCUPETARO",4,0
16034,"HIDALGO",6,0
16034,"HIDALGO",118,0
16034,"HIDALGO",2,0
16034,"HIDALGO",25,0
16058,"NUEVO PARANGARICUTIRO",6,0
16059,"NUEVO URECHO",12,0
16060,"NUMARAN",6,0
16062,"PAJACUARAN",7,0
16063,"PANINDICUARO",13,0
16064,"PARACUARO",13,0
16105,"VISTA HERMOSA",11,0
16065,"PARACHO",13,0
16089,"TEPALCATEPEC",18,0
16061,"OCAMPO",11,0
16061,"OCAMPO",12,0
16061,"OCAMPO",16,0
16061,"OCAMPO",1,0
16061,"OCAMPO",12,0
16061,"OCAMPO",10,0
16055,"MUGICA",31,0
16054,"MORELOS",12,0
16054,"MORELOS",4,0
16054,"MORELOS",13,0
16054,"MORELOS",6,0
16054,"MORELOS",10,0
16030,"ECUANDUREO",8,0
16029,"CHURUMUCO",6,0
16028,"CHURINTZIO",5,0
16027,"CHUCANDIRO",4,0
16026,"CHINICUILA",8,0
16025,"CHILCHOTA",12,0
16024,"CHERAN",5,0
16023,"CHAVINDA",6,0
16066,"PATZCUARO",48,0
16068,"PERIBAN",4,0
16069,"LA PIEDAD",20,0
16070,"PUREPERO",5,0
16071,"PURUANDIRO",30,0
16073,"QUIROGA",9,0
16091,"TINGUINDIN",12,0
16113,"JOSE SIXTO VERDUZCO",9,0
16112,"ZITACUARO",86,0
16085,"TANGANCICUARO",11,0
16088,"TARIMBARO",16,0
16092,"TIQUICHEO DE NICOLAS ROMERO",31,0
16093,"TLALPUJAHUA",10,0
16111,"ZIRACUARETIRO",9,0
16101,"TZITZIO",6,0
16100,"TZINTZUNTZAN",12,0
16095,"TOCUMBO",6,0
16084,"TANGAMANDAPIO",7,0
16102,"URUAPAN",63,0
16103,"VENUSTIANO CARRANZA",70,0
16103,"VENUSTIANO CARRANZA",191,0
16103,"VENUSTIANO CARRANZA",10,0
16103,"VENUSTIANO CARRANZA",12,0
16104,"VILLAMAR",17,0
16094,"TLAZAZALCA",4,0
16047,"JUNGAPEO",8,0
16046,"JUAREZ",27,0
16046,"JUAREZ",171,0
16046,"JUAREZ",3,0
16046,"JUAREZ",2,0
16046,"JUAREZ",6,0
16048,"LAGUNILLAS",3,0
16048,"LAGUNILLAS",6,0
17002,"ATLATLAHUCAN",10,0
17006,"CUAUTLA",43,0
17028,"XOCHITEPEC",25,0
17022,"TETELA DEL VOLCAN",4,0
17009,"HUITZILAC",17,0
17016,"OCUITUCO",6,0
17008,"EMILIANO ZAPATA",9,0
17008,"EMILIANO ZAPATA",25,0
17008,"EMILIANO ZAPATA",20,0
17008,"EMILIANO ZAPATA",2,0
17008,"EMILIANO ZAPATA",27,0
17003,"AXOCHIAPAN",23,0
17036,"HUEYAPAN",1,0
17036,"HUEYAPAN",5,0
17035,"XOXOCOTLA",4,0
17035,"XOXOCOTLA",3,0
17025,"TLAQUILTENANGO",21,0
17001,"AMACUZAC",18,0
17020,"TEPOZTLAN",12,0
17034,"COATETELCO",1,0
17027,"TOTOLAPAN",5,0
17030,"YECAPIXTLA",16,0
17026,"TLAYACAPAN",11,0
17031,"ZACATEPEC",33,0
17021,"TETECALA",9,0
17019,"TEPALCINGO",17,0
17023,"TLALNEPANTLA",3,0
17017,"PUENTE DE IXTLA",19,0
17015,"MIACATLAN",12,0
17013,"JONACATEPEC DE LEANDRO VALLE",10,0
17011,"JIUTEPEC",37,0
17010,"JANTETELCO",5,0
17018,"TEMIXCO",34,0
17029,"YAUTEPEC",42,0
17012,"JOJUTLA",34,0
17024,"TLALTIZAPAN DE ZAPATA",31,0
17007,"CUERNAVACA",146,0
17005,"COATLAN DEL RIO",9,0
17004,"AYALA",24,0
17014,"MAZATEPEC",8,0
17032,"ZACUALPAN DE AMILPAS",2,0
17033,"TEMOAC",5,0
18001,"ACAPONETA",33,0
18009,"DEL NAYAR",38,0
18010,"ROSAMORADA",41,0
18011,"RUIZ",19,0
18017,"TEPIC",138,0
18018,"TUXPAN",14,0
18018,"TUXPAN",18,0
18018,"TUXPAN",18,0
18018,"TUXPAN",126,0
18019,"LA YESCA",35,0
18004,"COMPOSTELA",59,0
18013,"SAN PEDRO LAGUNILLAS",10,0
18008,"XALISCO",19,0
18005,"HUAJICORI",8,0
18006,"IXTLAN DEL RIO",16,0
18007,"JALA",10,0
18014,"SANTA MARIA DEL ORO",27,0
18015,"SANTIAGO IXCUINTLA",69,0
18016,"TECUALA",26,0
18003,"AMATLAN DE CANAS",19,0
18012,"SAN BLAS",50,0
18020,"BAHIA DE BANDERAS",52,0
18002,"AHUACATLAN",23,0
18002,"AHUACATLAN",8,0
19029,"HUALAHUISES",3,0
19048,"SANTA CATARINA",12,0
19048,"SANTA CATARINA",5,0
19044,"SABINAS HIDALGO",7,0
19042,"LOS RAMONES",7,0
19023,"GENERAL TREVINO",0,1
19022,"GENERAL TERAN",8,0
19047,"HIDALGO",6,0
19047,"HIDALGO",118,0
19047,"HIDALGO",2,0
19047,"HIDALGO",25,0
19049,"SANTIAGO",10,0
19009,"CADEREYTA JIMENEZ",26,0
19032,"LAMPAZOS DE NARANJO",8,0
19031,"JUAREZ",27,0
19031,"JUAREZ",171,0
19031,"JUAREZ",3,0
19031,"JUAREZ",2,0
19031,"JUAREZ",6,0
19027,"LOS HERRERAS",7,0
19020,"GENERAL BRAVO",3,0
19041,"PESQUERIA",3,0
19040,"PARAS",0,1
19039,"MONTERREY",120,0
19046,"SAN NICOLAS DE LOS GARZA",19,0
19019,"SAN PEDRO GARZA GARCIA",5,0
19037,"MINA",11,0
19010,"EL CARMEN",4,0
19021,"GENERAL ESCOBEDO",16,0
19012,"CIENEGA DE FLORES",2,0
19002,"AGUALEGUAS",1,0
19005,"ANAHUAC",22,0
19024,"GENERAL ZARAGOZA",0,1
19026,"GUADALUPE",14,0
19026,"GUADALUPE",35,0
19026,"GUADALUPE",4,0
19026,"GUADALUPE",49,0
19003,"LOS ALDAMAS",3,0
19004,"ALLENDE",19,0
19004,"ALLENDE",17,0
19004,"ALLENDE",2,0
19025,"GENERAL ZUAZUA",1,0
19015,"DOCTOR COSS",2,0
19007,"ARAMBERRI",17,0
19018,"GARCIA",20,0
19051,"VILLALDAMA",3,0
19006,"APODACA",25,0
19011,"CERRALVO",5,0
19001,"ABASOLO",1,0
19001,"ABASOLO",16,0
19001,"ABASOLO",2,0
19001,"ABASOLO",19,0
19017,"GALEANA",3,0
19017,"GALEANA",19,0
19016,"DOCTOR GONZALEZ",0,1
19050,"VALLECILLO",0,1
19034,"MARIN",3,0
19035,"MELCHOR OCAMPO",4,0
19035,"MELCHOR OCAMPO",1,0
19035,"MELCHOR OCAMPO",3,0
19028,"HIGUERAS",3,0
19033,"LINARES",17,0
19036,"MIER Y NORIEGA",0,1
19043,"RAYONES",0,1
19014,"DOCTOR ARROYO",17,0
19038,"MONTEMORELOS",20,0
19008,"BUSTAMANTE",1,0
19008,"BUSTAMANTE",8,0
19013,"CHINA",8,0
19045,"SALINAS VICTORIA",7,0
19030,"ITURBIDE",2,0
20125,"SAN CARLOS YAUTEPEC",4,0
20481,"SANTIAGO NUYOO",2,0
20517,"SANTO DOMINGO TEPUXTEPEC",1,0
20524,"SANTO DOMINGO YODOHINO",1,0
20378,"SANTA CRUZ MIXTEPEC",3,0
20054,"MAGDALENA ZAHUATLAN",1,0
20542,"TANICHE",1,0
20237,"SAN MARCOS ARTEAGA",2,0
20489,"SANTIAGO TETEPEC",3,0
20544,"TEOCOCUILCO DE MARCOS PEREZ",1,0
20490,"SANTIAGO TEXCALCINGO",1,0
20333,"SAN PEDRO TOTOLAPAM",1,0
20334,"VILLA DE TUTUTEPEC",23,0
20562,"MAGDALENA YODOCONO DE PORFIRIO DIAZ",1,0
20133,"SAN ESTEBAN ATATLAHUCA",3,0
20134,"SAN FELIPE JALAPA DE DIAZ",8,0
20138,"SAN FRANCISCO CAJONOS",1,0
20149,"SAN FRANCISCO SOLA",1,0
20161,"SAN JERONIMO SOSOLA",5,0
20159,"SAN JERONIMO COATLAN",4,0
20437,"SANTA MARIA TLAHUITOLTEPEC",4,0
20441,"SANTA MARIA XADANI",2,0
20446,"SANTA MARIA YUCUHITI",4,0
20447,"SANTA MARIA ZACATEPEC",10,0
20469,"SANTIAGO JUXTLAHUACA",15,0
20511,"SANTO DOMINGO NUXAA",10,0
20513,"SANTO DOMINGO PETAPA",7,0
20278,"SAN MIGUEL SOYALTEPEC",22,0
20457,"SANTIAGO CAMOTLAN",3,0
20163,"SAN JERONIMO TECOATL",1,0
20166,"SAN JOSE CHILTEPEC",4,0
20506,"SANTO DOMINGO ALBARRADAS",2,0
20482,"SANTIAGO PINOTEPA NACIONAL",27,0
20508,"SANTO DOMINGO CHIHUITAN",1,0
20205,"SAN JUAN LALANA",8,0
20271,"SAN MIGUEL MIXTEPEC",1,0
20329,"SAN PEDRO TEOZACOALCO",1,0
20330,"SAN PEDRO TEUTILA",3,0
20246,"SAN MATEO CAJONOS",0,1
20277,"VILLA SOLA DE VEGA",11,0
20545,"TEOTITLAN DE FLORES MAGON",13,0
20546,"TEOTITLAN DEL VALLE",1,0
20547,"TEOTONGO",1,0
20170,"SAN JOSE LACHIGUIRI",4,0
20230,"SAN LORENZO VICTORIA",1,0
20168,"SAN JOSE ESTANCIA GRANDE",2,0
20184,"SAN JUAN BAUTISTA TUXTEPEC",55,0
20185,"SAN JUAN CACAHUATEPEC",6,0
20404,"SANTA MARIA CHACHOAPAM",1,0
20407,"SANTA MARIA CHIMALAPA",9,0
20186,"SAN JUAN CIENEGUILLA",1,0
20214,"SAN JUAN QUIOTEPEC",1,0
20220,"SAN JUAN TEPEUXILA",2,0
20227,"SAN LORENZO CACAOTEPEC",8,0
20261,"SAN MIGUEL AMATITLAN",3,0
20552,"TLACOTEPEC PLUMAS",1,0
20262,"SAN MIGUEL AMATLAN",3,0
20266,"SAN MIGUEL DEL PUERTO",5,0
20550,"SAN JERONIMO TLACOCHAHUAYA",3,0
20253,"SAN MATEO PINAS",3,0
20254,"SAN MATEO RIO HONDO",3,0
20272,"SAN MIGUEL PANIXTLAHUACA",1,0
20273,"SAN MIGUEL PERAS",2,0
20275,"SAN MIGUEL QUETZALTEPEC",4,0
20551,"TLACOLULA DE MATAMOROS",10,0
20357,"SANTA ANA TAVELA",1,0
20502,"SANTIAGO ZACATEPEC",6,0
20553,"TLALIXTAC DE CABRERA",1,0
20265,"SAN MIGUEL CHIMALAPA",3,0
20493,"SANTIAGO TILLO",1,0
20318,"SAN PEDRO MIXTEPEC",0,1
20327,"SAN PEDRO TAPANATEPEC",10,0
20554,"TOTONTEPEC VILLA DE MORELOS",2,0
20555,"TRINIDAD ZAACHILA",4,0
20556,"LA TRINIDAD VISTA HERMOSA",0,1
20018,"CONCEPCION BUENAVISTA",0,1
20036,"GUEVEA DE HUMBOLDT",5,0
20338,"VILLA DE ETLA",4,0
20344,"SAN SEBASTIAN COATLAN",4,0
20366,"SANTA CATARINA LOXICHA",1,0
20377,"SANTA CRUZ ITUNDUJIA",9,0
20451,"SANTIAGO APOALA",2,0
20005,"ASUNCION IXTALTEPEC",14,0
20558,"VALERIO TRUJANO",1,0
20561,"YAXE",0,1
20056,"MARTIRES DE TACUBAYA",1,0
20563,"YOGANA",1,0
20497,"SANTIAGO YAITEPEC",1,0
20549,"HEROICA VILLA TEZOATLAN DE SEGURA Y LUNA, CUNA DE LA INDEPENDENCIA DE OAXACA",0,1
20564,"YUTANDUCHI DE GUERRERO",1,0
20565,"VILLA DE ZAACHILA",7,0
20099,"SAN ANDRES TEPETLAPA",1,0
20491,"SANTIAGO TEXTITLAN",2,0
20031,"TAMAZULAPAM DEL ESPIRITU SANTO",1,0
20279,"SAN MIGUEL SUCHIXTEPEC",1,0
20401,"SANTA MARIA COLOTEPEC",9,0
20367,"SANTA CATARINA MECHOACAN",1,0
20500,"SANTIAGO YOSONDUA",5,0
20503,"SANTIAGO ZOOCHILA",2,0
20379,"SANTA CRUZ NUNDACO",2,0
20494,"SANTIAGO TLAZOYALTEPEC",6,0
20499,"SANTIAGO YOLOMECATL",1,0
20058,"MAZATLAN VILLA DE FLORES",8,0
20059,"MIAHUATLAN DE PORFIRIO DIAZ",17,0
20177,"SAN JUAN BAUTISTA CUICATLAN",19,0
20359,"SANTA ANA YARENI",1,0
20364,"SANTA CATARINA JUQUILA",6,0
20569,"SANTA INES DE ZARAGOZA",2,0
20570,"ZIMATLAN DE ALVAREZ",16,0
20567,"ZAPOTITLAN LAGUNAS",2,0
20057,"MATIAS ROMERO AVENDANO",35,0
20423,"SANTA MARIA NDUAYACO",1,0
20112,"SAN BALTAZAR CHICHICAPAM",1,0
20510,"SANTO DOMINGO IXCATLAN",1,0
20371,"SANTA CATARINA TICUA",1,0
20424,"SANTA MARIA OZOLOTEPEC",1,0
20406,"SANTA MARIA CHILCHOTLA",10,0
20410,"SANTA MARIA ECATEPEC",8,0
20435,"SANTA MARIA TEPANTLALI",1,0
20417,"SANTA MARIA JACATEPEC",5,0
20422,"SANTA MARIA NATIVITAS",2,0
20439,"SANTA MARIA TONAMECA",10,0
20450,"SANTIAGO AMOLTEPEC",1,0
20075,"REFORMA DE PINEDA",3,0
20501,"SANTIAGO YUCUYACHI",1,0
20504,"NUEVO ZOQUIAPAM",1,0
20505,"SANTO DOMINGO INGENIO",5,0
20251,"SAN MATEO NEJAPAM",1,0
20459,"VILLA DE SANTIAGO CHAZUMBA",3,0
20477,"SANTIAGO MINAS",2,0
20484,"SANTIAGO TAMAZOLA",2,0
20485,"SANTIAGO TAPEXTLA",3,0
20492,"SANTIAGO TILANTONGO",6,0
20495,"SANTIAGO XANICA",5,0
20534,"SAN VICENTE COATLAN",1,0
20537,"SILACAYOAPAM",9,0
20543,"TATALTEPEC DE VALDES",2,0
20548,"TEPELMEME VILLA DE MORELOS",1,0
20463,"SANTIAGO HUAUCLILLA",2,0
20467,"SANTIAGO JAMILTEPEC",12,0
20559,"SAN JUAN BAUTISTA VALLE NACIONAL",11,0
20169,"SAN JOSE INDEPENDENCIA",1,0
20117,"SAN BARTOLOME LOXICHA",1,0
20512,"SANTO DOMINGO OZOLOTEPEC",0,1
20514,"SANTO DOMINGO ROAYAGA",1,0
20118,"SAN BARTOLOME QUIALANA",1,0
20518,"SANTO DOMINGO TLATAYAPAM",0,1
20440,"SANTA MARIA TOTOLAPILLA",1,0
20568,"ZAPOTITLAN PALMAS",2,0
20521,"SANTO DOMINGO TONALTEPEC",0,1
20001,"ABEJONES",0,1
20256,"SAN MATEO TLAPILTEPEC",1,0
20003,"ASUNCION CACALOTEPEC",1,0
20263,"SAN MIGUEL COATLAN",1,0
20004,"ASUNCION CUYOTEPEJI",1,0
20007,"ASUNCION OCOTLAN",1,0
20267,"SAN MIGUEL DEL RIO",0,1
20011,"CALIHUALA",0,1
20027,"CHIQUIHUITLAN DE BENITO JUAREZ",1,0
20030,"EL ESPINAL",5,0
20519,"SANTO DOMINGO TOMALTEPEC",1,0
20034,"GUADALUPE DE RAMIREZ",1,0
20013,"CIENEGA DE ZIMATLAN",2,0
20460,"SANTIAGO CHOAPAM",2,0
20044,"LOMA BONITA",15,0
20017,"LA COMPANIA",4,0
20507,"SANTO DOMINGO ARMENTA",1,0
20049,"MAGDALENA OCOTLAN",2,0
20520,"SANTO DOMINGO TONALA",10,0
20019,"CONCEPCION PAPALO",4,0
20022,"COSOLTEPEC",1,0
20024,"CUYAMECALCO VILLA DE ZARAGOZA",2,0
20025,"CHAHUITES",4,0
20026,"CHALCATONGO DE HIDALGO",5,0
20029,"ELOXOCHITLAN DE FLORES MAGON",2,0
20032,"FRESNILLO DE TRUJANO",1,0
20515,"SANTO DOMINGO TEHUANTEPEC",35,0
20516,"SANTO DOMINGO TEOJOMULCO",3,0
20033,"GUADALUPE ETLA",3,0
20050,"MAGDALENA PENASCO",2,0
20035,"GUELATAO DE JUAREZ",5,0
20051,"MAGDALENA TEITIPAC",1,0
20536,"SAN VICENTE NUNU",0,1
20047,"SANTA MAGDALENA JICOTLAN",0,1
20037,"MESONES HIDALGO",2,0
20040,"HUAUTEPEC",2,0
20041,"HUAUTLA DE JIMENEZ",13,0
20042,"IXTLAN DE JUAREZ",10,0
20045,"MAGDALENA APASCO",4,0
20053,"MAGDALENA TLACOTEPEC",2,0
20046,"MAGDALENA JALTEPEC",4,0
20523,"SANTO DOMINGO YANHUITLAN",4,0
